OBJECTID,ZCTA5CE10,Zip,PopOver5,EngOnly,Spanish,Indo_Euro,Asian,Other,PovPop,Under50,Under100,Under130,Under200,Ineligible,Adj_Denom,CalFresh,PRI_Code,Elig_Non_R
336,93022,93022,6838,5369,1275,163,31,0,7147,192,635,937.04,1653,85.93398,851.10602,458,50.0 - 79.9,393.10602
950,92648,92648,45929,36401,4424,1742,3046,316,47453,1662,3986,4961.84,8801,543.8345,4418.0055,2110,25.0 - 49.9,2308.0055
239,92780,92780,56938,24658,23939,1981,6032,328,61741,3068,8604,11312.08,21035,3073.33636,8238.74364,5569,50.0 - 79.9,2669.74364
252,94607,94607,24406,14586,2492,434,6102,792,25740,3253,7693,10224.24,13382,1671.77696,8552.46304,4736,50.0 - 79.9,3816.46304
353,91010,91010,24557,10410,9983,924,3036,204,25419,1488,3982,5548.4,8913,1009.35718,4539.04282,1993,25.0 - 49.9,2546.04282
723,91978,91978,9092,6085,2000,150,437,420,9786,619,1170,1893.84,3274,285.37948,1608.46052,947,50.0 - 79.9,661.46052
970,92656,92656,48547,34499,4224,4261,4848,715,51861,1130,2298,2962.96,5795,499.73666,2463.22334,1495,50.0 - 79.9,968.22334
892,95209,95209,40580,27667,5098,1358,6453,4,42719,2337,6111,8843.12,12601,1226.65512,7616.46488,5877,50.0 - 79.9,1739.46488
40,95835,95835,36677,21995,4340,4501,5462,379,38771,817,2959,3659.76,8601,603.169,3056.591,2196,50.0 - 79.9,860.591
873,92548,92548,7055,3783,3036,17,219,0,7577,659,1768,2255.76,4336,394.65988,1861.10012,1566,80.0 - 100.0,295.10012
377,90732,90732,20642,14371,2981,1872,1336,82,21412,465,1350,2060.24,3648,215.70552,1844.53448,508,25.0 - 49.9,1336.53448
567,96140,96140,752,716,12,24,0,0,805,144,161,173.68,195,3.252,170.428,24,0 - 24.9,146.428
390,91208,91208,15814,7672,1001,4949,2160,32,17124,724,1181,1466.4,2471,292.05076,1174.34924,485,25.0 - 49.9,689.34924
314,94920,94920,12215,10080,511,1304,300,20,12692,230,463,562.64,957,20.67892,541.96108,134,0 - 24.9,407.96108
996,95811,95811,6385,5093,757,148,334,53,6559,1054,2144,2537.6,3260,467.43848,2070.16152,1549,50.0 - 79.9,521.16152
203,94597,94597,20797,15596,750,1915,1893,643,21867,1236,1998,2465.84,4106,218.30704,2247.53296,468,0 - 24.9,1779.53296
908,95232,95232,148,148,0,0,0,0,168,11,11,11.44,29,4.968,6.472,35,Over 100 (Data Error),0
633,91701,91701,38549,28656,6154,626,2521,592,40695,1145,2881,4005.04,7465,524.50146,3480.53854,2206,50.0 - 79.9,1274.53854
663,91752,91752,27980,13640,12565,331,1274,170,29739,1561,3413,5256.16,10776,1254.315,4001.845,3402,80.0 - 100.0,599.845
998,95815,95815,23573,13363,7434,551,2054,171,25152,4957,9670,12365.6,16542,2829.52206,9536.07794,8248,80.0 - 100.0,1288.07794
33,94501,94501,59420,38840,4158,3190,12398,834,62024,3491,6896,9104.16,13979,1197.34016,7906.81984,3509,25.0 - 49.9,4397.81984
188,94578,94578,37725,17528,10646,1497,7669,385,39839,3012,6263,9539.92,15776,2046.46312,7493.45688,4559,50.0 - 79.9,2934.45688
976,92672,92672,33006,26142,5533,672,601,58,34573,1626,3346,4431.44,9084,518.51372,3912.92628,1585,25.0 - 49.9,2327.92628
364,91103,91103,26651,11708,13004,626,1192,121,27355,2322,5328,7483.84,11261,1837.81084,5646.02916,3478,50.0 - 79.9,2168.02916
679,92210,92210,4980,4398,115,154,284,29,4987,143,239,314.08,708,16.78846,297.29154,60,0 - 24.9,237.29154
381,90744,90744,52190,11784,39190,70,1092,54,57220,5810,15673,21206.64,33124,4602.73256,16603.90744,7096,25.0 - 49.9,9507.90744
349,91001,91001,35761,25535,7803,1340,938,145,37573,1610,3951,5259.28,8775,1021.89098,4237.38902,2295,50.0 - 79.9,1942.38902
67,94523,94523,32435,25421,2192,1975,2708,139,34345,1618,2744,3319.68,5153,287.6065,3032.0735,1175,25.0 - 49.9,1857.0735
493,93304,93304,47139,22120,23704,642,529,144,51348,6723,18041,23537.28,32500,4416.04424,19121.23576,15134,50.0 - 79.9,3987.23576
498,93309,93309,55405,36419,16242,693,1708,343,58930,5147,13047,17425.2,28059,2553.48198,14871.71802,11002,50.0 - 79.9,3869.71802
949,92647,92647,57271,38175,11603,1174,5338,981,60943,3907,8606,12723.36,18945,2287.6055,10435.7545,5342,50.0 - 79.9,5093.7545
161,95986,95986,79,79,0,0,0,0,79,0,19,29.12,34,4.454,24.666,33,Over 100 (Data Error),0
705,91911,91911,78498,26536,46966,538,4302,156,83545,4544,12752,17772.56,34431,3693.11388,14079.44612,11397,80.0 - 100.0,2682.44612
652,91745,91745,51452,18149,14569,600,17882,252,53898,1853,4725,6796.4,12929,1629.14974,5167.25026,2759,50.0 - 79.9,2408.25026
125,94547,94547,23803,12648,2240,1642,6893,380,24970,605,1265,1760.72,3103,328.1948,1432.5252,1228,80.0 - 100.0,204.5252
977,92673,92673,28815,24768,2315,1047,553,132,30468,589,1243,1832.48,3285,242.0687,1590.4113,785,25.0 - 49.9,805.4113
836,95124,95124,46003,33304,3787,2796,5693,423,48923,1215,2249,3307.2,6159,606.72758,2700.47242,1302,25.0 - 49.9,1398.47242
643,91730,91730,64501,40708,14491,2347,5507,1448,65467,3933,8667,11975.6,20247,1696.2842,10279.3158,8243,80.0 - 100.0,2036.3158
28,94306,94306,25835,14164,1809,2828,6398,636,27226,963,1500,1957.28,3868,322.9748,1634.3052,373,0 - 24.9,1261.3052
887,95203,95203,14254,8567,4738,144,772,33,15265,2703,5272,6215.04,9063,1448.18044,4766.85956,4717,80.0 - 100.0,49.85956
739,94960,94960,15359,13678,571,832,234,44,15634,383,602,822.64,1667,78.33044,744.30956,291,25.0 - 49.9,453.30956
935,92610,92610,10965,7963,572,767,1611,52,11895,145,296,373.36,886,56.79784,316.56216,192,50.0 - 79.9,124.56216
410,91307,91307,25559,17890,2182,2873,2202,412,26500,674,1550,2206.88,4209,379.0452,1827.8348,755,25.0 - 49.9,1072.8348
706,91913,91913,43798,18957,15374,843,8563,61,47433,1779,4166,5582.72,10445,731.2731,4851.4469,1831,25.0 - 49.9,3020.4469
990,92704,92704,83097,14522,54515,927,12836,297,89328,6176,16446,24898.64,44231,8079.71514,16818.92486,13457,80.0 - 100.0,3361.92486
722,91977,91977,57181,31712,19756,799,3948,966,61652,3418,9083,13419.12,23094,2178.9996,11240.1204,7948,50.0 - 79.9,3292.1204
987,92694,92694,23033,18229,1718,1519,1297,270,25842,505,588,1194.96,1965,118.40722,1076.55278,428,25.0 - 49.9,648.55278
306,92887,92887,19458,14320,1477,1358,2185,118,20517,409,649,1085.76,2047,115.66984,970.09016,362,25.0 - 49.9,608.09016
121,94542,94542,12834,7812,1999,1201,1477,345,12149,923,1637,2258.88,2863,249.82502,2009.05498,597,25.0 - 49.9,1412.05498
642,91724,91724,24871,14566,7000,449,2631,225,26125,1237,2721,3279.12,6074,716.9671,2562.1529,1780,50.0 - 79.9,782.1529
286,92835,92835,22482,15635,1475,893,4393,86,23020,957,1805,2252.64,4005,315.079,1937.561,739,25.0 - 49.9,1198.561
378,90740,90740,23385,19673,1119,824,1417,352,24029,993,1883,2566.72,4766,137.23738,2429.48262,545,0 - 24.9,1884.48262
835,95123,95123,61468,36925,10184,4548,8054,1757,66300,1687,4164,5764.72,11449,1258.51428,4506.20572,3360,50.0 - 79.9,1146.20572
920,95250,95250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data,0
957,95254,95254,897,585,112,179,21,0,897,0,0,149.76,144,9.624,140.136,33,0 - 24.9,107.136
243,92804,92804,80465,29485,30578,2418,15788,2196,84580,6233,14296,20460.96,34663,5540.084,14920.876,12924,80.0 - 100.0,1996.876
860,92505,92505,46235,22081,20392,881,2582,299,48626,4166,7684,10788.96,18681,2198.05472,8590.90528,6615,50.0 - 79.9,1975.90528
854,92408,92408,14376,6307,5912,338,1590,229,14805,2179,5734,7092.8,9916,1166.20584,5926.59416,4136,50.0 - 79.9,1790.59416
322,94931,94931,7984,6640,952,212,153,27,8436,421,779,1183.52,2398,174.94564,1008.57436,616,50.0 - 79.9,392.57436
932,92603,92603,18808,11306,500,2553,4295,154,20198,636,859,1388.4,1950,104.23122,1284.16878,182,0 - 24.9,1102.16878
250,94605,94605,40242,29258,8082,743,1795,364,42856,3874,8608,10708.88,16097,2861.78214,7847.09786,8885,Over 100 (Data Error),0
53,94508,94508,4167,2961,653,99,367,87,3089,106,276,328.64,698,30.74676,297.89324,81,25.0 - 49.9,216.89324
598,93449,93449,7665,6892,335,337,101,0,7984,334,585,796.64,1468,48.3423,748.2977,214,25.0 - 49.9,534.2977
17,95830,95830,953,610,45,215,83,0,953,44,212,222.56,350,14.09046,208.46954,44,0 - 24.9,164.46954
651,91744,91744,80765,16930,55954,202,7545,134,86228,5855,12510,19100.64,37449,5679.26818,13421.37182,10549,50.0 - 79.9,2872.37182
281,92821,92821,35050,24746,4987,844,4239,234,37560,874,2718,3615.04,7036,538.62448,3076.41552,1582,50.0 - 79.9,1494.41552
