geoid,name,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,unemployed,labor_force,receives_snap,snap_universe,receives_pai,pai_universe,uninsured,insured_universe,median_percentage_income_rent
06081609601,"Census Tract 6096.01, San Mateo County, California",2923,150500.0,1397400.0,1469.0,2019.0,100.0,0.0,467.0,0.0,0.0,178.0,159.0,70.0,1621.0,32.0,1168.0,18.0,1168.0,121.0,2923.0,28.1
06081609602,"Census Tract 6096.02, San Mateo County, California",1715,138000.0,1097800.0,865.0,1223.0,0.0,3.0,314.0,0.0,16.0,78.0,84.0,52.0,932.0,0.0,678.0,5.0,678.0,51.0,1715.0,29.5
06081609603,"Census Tract 6096.03, San Mateo County, California",5135,144275.0,1121500.0,2467.0,3738.0,22.0,0.0,680.0,15.0,10.0,197.0,473.0,202.0,2855.0,0.0,1981.0,0.0,1981.0,112.0,5122.0,30.1
06081609700,"Census Tract 6097, San Mateo County, California",4660,158500.0,1362600.0,2218.0,3874.0,29.0,16.0,165.0,0.0,0.0,186.0,406.0,95.0,2369.0,0.0,1678.0,10.0,1678.0,11.0,4660.0,17.0
06081609800,"Census Tract 6098, San Mateo County, California",4677,133167.0,1087000.0,1829.0,3033.0,74.0,0.0,558.0,20.0,41.0,63.0,888.0,79.0,2730.0,16.0,1694.0,10.0,1694.0,91.0,4671.0,22.4
06081609900,"Census Tract 6099, San Mateo County, California",3156,175643.0,1122900.0,1396.0,2258.0,2.0,0.0,123.0,0.0,0.0,177.0,596.0,52.0,1841.0,0.0,1082.0,6.0,1082.0,216.0,3156.0,25.4
06081610000,"Census Tract 6100, San Mateo County, California",4798,91725.0,1033000.0,2224.0,2917.0,40.0,0.0,525.0,0.0,19.0,155.0,1142.0,91.0,3081.0,0.0,2073.0,14.0,2073.0,269.0,4777.0,27.6
06081610100,"Census Tract 6101, San Mateo County, California",2434,76394.0,696800.0,651.0,1086.0,22.0,18.0,116.0,0.0,10.0,42.0,1146.0,81.0,1452.0,28.0,925.0,14.0,925.0,244.0,2434.0,37.7
06081610201,"Census Tract 6102.01, San Mateo County, California",6033,54250.0,685800.0,778.0,753.0,207.0,42.0,484.0,0.0,54.0,12.0,4523.0,129.0,3151.0,288.0,1770.0,55.0,1770.0,919.0,6025.0,36.3
06081610202,"Census Tract 6102.02, San Mateo County, California",2468,49573.0,333300.0,591.0,845.0,170.0,21.0,341.0,12.0,17.0,51.0,1026.0,64.0,952.0,86.0,828.0,0.0,828.0,88.0,1715.0,35.0
06081610203,"Census Tract 6102.03, San Mateo County, California",3986,53611.0,657300.0,374.0,368.0,53.0,124.0,135.0,163.0,0.0,39.0,3228.0,142.0,2258.0,201.0,1040.0,31.0,1040.0,1043.0,3986.0,39.8
06081610302,"Census Tract 6103.02, San Mateo County, California",2756,60257.0,82800.0,509.0,1002.0,68.0,75.0,312.0,8.0,5.0,60.0,1301.0,133.0,1411.0,25.0,923.0,33.0,923.0,338.0,2596.0,28.0
06081610303,"Census Tract 6103.03, San Mateo County, California",8094,159059.0,1156400.0,4410.0,3489.0,190.0,0.0,3359.0,0.0,0.0,491.0,565.0,180.0,4661.0,0.0,3253.0,15.0,3253.0,255.0,8094.0,27.5
06081610304,"Census Tract 6103.04, San Mateo County, California",4532,115286.0,850900.0,2140.0,2060.0,169.0,0.0,1693.0,0.0,8.0,140.0,462.0,142.0,2611.0,21.0,1898.0,0.0,1898.0,73.0,4532.0,29.2
06081610400,"Census Tract 6104, San Mateo County, California",6252,62594.0,659000.0,706.0,1003.0,317.0,118.0,248.0,126.0,21.0,93.0,4444.0,88.0,3033.0,177.0,1698.0,55.0,1698.0,1282.0,6252.0,37.0
06081610500,"Census Tract 6105, San Mateo County, California",5261,57083.0,473000.0,466.0,785.0,35.0,17.0,461.0,331.0,0.0,59.0,3590.0,144.0,2759.0,158.0,1378.0,22.0,1378.0,1175.0,5261.0,40.0
06081610601,"Census Tract 6106.01, San Mateo County, California",6113,57480.0,615400.0,630.0,588.0,50.0,39.0,289.0,0.0,30.0,43.0,5113.0,269.0,3335.0,206.0,1677.0,54.0,1677.0,1359.0,6113.0,40.8
06081610602,"Census Tract 6106.02, San Mateo County, California",3770,116736.0,815500.0,1366.0,1718.0,31.0,8.0,228.0,0.0,10.0,64.0,1711.0,184.0,1913.0,35.0,1215.0,44.0,1215.0,479.0,3770.0,42.7
06081610700,"Census Tract 6107, San Mateo County, California",5205,75229.0,810000.0,1595.0,2486.0,54.0,2.0,744.0,98.0,17.0,63.0,1741.0,116.0,2999.0,103.0,2163.0,0.0,2163.0,832.0,5191.0,30.7
06081610800,"Census Tract 6108, San Mateo County, California",5186,58500.0,653100.0,804.0,1090.0,78.0,0.0,402.0,0.0,0.0,125.0,3491.0,153.0,3144.0,35.0,1688.0,0.0,1688.0,898.0,5179.0,36.5
06081610900,"Census Tract 6109, San Mateo County, California",6979,66019.0,644200.0,1529.0,2326.0,39.0,68.0,620.0,29.0,0.0,209.0,3698.0,156.0,4539.0,190.0,2543.0,95.0,2543.0,901.0,6974.0,36.0
06081611000,"Census Tract 6110, San Mateo County, California",6468,100204.0,906500.0,2083.0,3207.0,154.0,0.0,511.0,0.0,0.0,236.0,2360.0,154.0,3865.0,0.0,2320.0,14.0,2320.0,429.0,6445.0,27.3
