geoid,name,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,unemployed,labor_force,receives_snap,snap_universe,receives_pai,pai_universe,uninsured,insured_universe,median_percentage_income_rent
06001400100,"Census Tract 4001, Alameda County, California",3018,177417.0,1074100.0,1981.0,2145.0,92.0,0.0,491.0,0.0,75.0,132.0,83.0,75.0,1643.0,0.0,1292.0,9.0,1292.0,110.0,3018.0,17.6
06001400200,"Census Tract 4002, Alameda County, California",1960,153125.0,978900.0,1278.0,1426.0,11.0,4.0,165.0,0.0,5.0,138.0,211.0,41.0,1270.0,5.0,813.0,0.0,813.0,73.0,1960.0,18.5
06001400300,"Census Tract 4003, Alameda County, California",5236,85313.0,912700.0,2817.0,3346.0,606.0,9.0,599.0,36.0,0.0,254.0,386.0,204.0,3402.0,55.0,2439.0,58.0,2439.0,160.0,5236.0,27.0
06001400400,"Census Tract 4004, Alameda County, California",4171,99539.0,848900.0,2512.0,2758.0,410.0,25.0,458.0,0.0,0.0,266.0,266.0,114.0,2678.0,29.0,1798.0,27.0,1798.0,173.0,4165.0,23.7
06001400500,"Census Tract 4005, Alameda County, California",3748,83650.0,683500.0,1822.0,1972.0,944.0,0.0,140.0,24.0,19.0,163.0,486.0,82.0,2545.0,50.0,1643.0,71.0,1643.0,397.0,3748.0,24.3
06001400600,"Census Tract 4006, Alameda County, California",1661,61597.0,572300.0,742.0,636.0,584.0,5.0,116.0,0.0,19.0,143.0,158.0,104.0,1116.0,43.0,713.0,38.0,713.0,151.0,1661.0,36.8
06001400700,"Census Tract 4007, Alameda County, California",4552,46424.0,608500.0,1290.0,1700.0,1691.0,91.0,119.0,0.0,0.0,215.0,752.0,227.0,2712.0,215.0,1787.0,33.0,1787.0,692.0,4552.0,32.5
06001400800,"Census Tract 4008, Alameda County, California",3506,61111.0,535600.0,1383.0,1390.0,1093.0,7.0,436.0,0.0,0.0,159.0,421.0,203.0,2296.0,84.0,1580.0,59.0,1580.0,362.0,3500.0,30.0
06001400900,"Census Tract 4009, Alameda County, California",2262,55691.0,505100.0,781.0,899.0,734.0,10.0,188.0,0.0,63.0,104.0,264.0,62.0,1435.0,60.0,1025.0,39.0,1025.0,146.0,2262.0,30.0
06001401000,"Census Tract 4010, Alameda County, California",6193,51073.0,422100.0,1582.0,1914.0,2057.0,9.0,194.0,85.0,56.0,498.0,1380.0,333.0,3954.0,299.0,2619.0,248.0,2619.0,574.0,6184.0,36.4
06001401100,"Census Tract 4011, Alameda County, California",4138,71205.0,596200.0,2178.0,2130.0,669.0,0.0,622.0,0.0,0.0,262.0,455.0,306.0,3182.0,57.0,2032.0,24.0,2032.0,486.0,4138.0,25.8
06001401200,"Census Tract 4012, Alameda County, California",2614,83208.0,665900.0,1316.0,1486.0,366.0,19.0,186.0,0.0,0.0,128.0,438.0,203.0,1909.0,79.0,1231.0,45.0,1231.0,111.0,2584.0,24.6
06001401300,"Census Tract 4013, Alameda County, California",3976,37123.0,588300.0,1327.0,1287.0,1289.0,37.0,709.0,0.0,0.0,157.0,506.0,360.0,2536.0,236.0,1705.0,98.0,1705.0,886.0,3683.0,30.2
06001401400,"Census Tract 4014, Alameda County, California",4108,25985.0,363900.0,631.0,691.0,1620.0,100.0,352.0,27.0,36.0,159.0,1145.0,234.0,1999.0,305.0,1544.0,178.0,1544.0,709.0,4108.0,42.3
06001401500,"Census Tract 4015, Alameda County, California",2605,48903.0,405400.0,695.0,957.0,1009.0,6.0,189.0,23.0,0.0,109.0,314.0,200.0,1661.0,123.0,1023.0,58.0,1023.0,461.0,2605.0,34.1
06001401600,"Census Tract 4016, Alameda County, California",2173,36544.0,366700.0,516.0,554.0,713.0,11.0,233.0,65.0,20.0,110.0,478.0,67.0,1184.0,190.0,781.0,86.0,781.0,302.0,2173.0,39.2
06001401700,"Census Tract 4017, Alameda County, California",2679,66308.0,408700.0,864.0,851.0,642.0,0.0,267.0,0.0,0.0,77.0,842.0,110.0,1588.0,89.0,1231.0,82.0,1231.0,245.0,2663.0,28.3
06001401800,"Census Tract 4018, Alameda County, California",1866,28185.0,426700.0,451.0,510.0,798.0,0.0,43.0,0.0,5.0,149.0,361.0,150.0,1006.0,201.0,731.0,128.0,731.0,310.0,1866.0,40.5
06001402200,"Census Tract 4022, Alameda County, California",2406,45400.0,465400.0,501.0,652.0,768.0,17.0,341.0,37.0,0.0,46.0,545.0,153.0,1359.0,164.0,838.0,47.0,838.0,376.0,2406.0,36.8
06001402400,"Census Tract 4024, Alameda County, California",2773,33724.0,450000.0,688.0,605.0,1539.0,16.0,303.0,9.0,0.0,65.0,237.0,138.0,1531.0,165.0,1151.0,54.0,1151.0,371.0,2754.0,31.3
06001402500,"Census Tract 4025, Alameda County, California",1833,23693.0,326700.0,166.0,155.0,1171.0,14.0,79.0,0.0,0.0,75.0,353.0,161.0,716.0,241.0,704.0,160.0,704.0,204.0,1833.0,29.6
06001402600,"Census Tract 4026, Alameda County, California",1272,22955.0,346600.0,299.0,219.0,327.0,2.0,598.0,0.0,5.0,27.0,94.0,89.0,678.0,53.0,654.0,29.0,654.0,168.0,1272.0,29.2
06001402700,"Census Tract 4027, Alameda County, California",1734,44792.0,417900.0,353.0,477.0,617.0,33.0,175.0,0.0,11.0,47.0,396.0,72.0,1108.0,153.0,680.0,78.0,680.0,223.0,1734.0,27.4
06001402800,"Census Tract 4028, Alameda County, California",3798,17363.0,550000.0,1197.0,912.0,1582.0,36.0,802.0,0.0,0.0,152.0,337.0,292.0,2160.0,244.0,2295.0,142.0,2295.0,487.0,3773.0,32.4
06001402900,"Census Tract 4029, Alameda County, California",1392,28854.0,-666666666.0,501.0,326.0,286.0,46.0,514.0,0.0,0.0,66.0,167.0,47.0,787.0,72.0,853.0,20.0,853.0,254.0,1392.0,30.4
06001403000,"Census Tract 4030, Alameda County, California",3167,19490.0,397100.0,607.0,210.0,139.0,39.0,2607.0,69.0,20.0,27.0,56.0,106.0,1419.0,149.0,1611.0,58.0,1611.0,224.0,3167.0,32.7
06001403100,"Census Tract 4031, Alameda County, California",1721,51184.0,435000.0,586.0,436.0,302.0,36.0,739.0,6.0,0.0,38.0,171.0,55.0,818.0,31.0,712.0,7.0,712.0,102.0,1427.0,31.1
06001403300,"Census Tract 4033, Alameda County, California",4159,52246.0,346700.0,1451.0,849.0,401.0,19.0,2266.0,0.0,0.0,308.0,316.0,354.0,2548.0,188.0,2158.0,121.0,2158.0,429.0,4142.0,39.0
06001403400,"Census Tract 4034, Alameda County, California",4360,51172.0,397300.0,2341.0,1634.0,957.0,47.0,1097.0,0.0,41.0,208.0,376.0,114.0,2973.0,164.0,2746.0,39.0,2746.0,571.0,4337.0,29.3
06001403501,"Census Tract 4035.01, Alameda County, California",4435,37032.0,439800.0,1856.0,1468.0,1059.0,72.0,1022.0,0.0,0.0,310.0,533.0,110.0,2372.0,208.0,2583.0,79.0,2583.0,467.0,4435.0,32.5
06001403502,"Census Tract 4035.02, Alameda County, California",2081,67672.0,385900.0,1198.0,1075.0,423.0,0.0,313.0,0.0,0.0,98.0,172.0,164.0,1637.0,43.0,1170.0,5.0,1170.0,188.0,2081.0,26.7
06001403600,"Census Tract 4036, Alameda County, California",4751,70600.0,408700.0,2426.0,1798.0,1372.0,35.0,566.0,4.0,14.0,363.0,599.0,243.0,3399.0,61.0,2530.0,42.0,2530.0,326.0,4641.0,24.3
06001403701,"Census Tract 4037.01, Alameda County, California",2755,66086.0,304900.0,1598.0,1524.0,473.0,0.0,241.0,0.0,28.0,199.0,290.0,19.0,1825.0,51.0,1683.0,16.0,1683.0,391.0,2716.0,25.1
06001403702,"Census Tract 4037.02, Alameda County, California",2027,78266.0,569400.0,1259.0,1184.0,175.0,0.0,279.0,36.0,0.0,106.0,247.0,20.0,1495.0,69.0,1123.0,28.0,1123.0,76.0,2027.0,23.6
06001403800,"Census Tract 4038, Alameda County, California",3323,85313.0,783800.0,2172.0,2140.0,254.0,0.0,384.0,0.0,13.0,252.0,280.0,126.0,2432.0,38.0,1808.0,34.0,1808.0,275.0,3323.0,24.1
06001403900,"Census Tract 4039, Alameda County, California",3938,73125.0,352500.0,2172.0,2153.0,671.0,12.0,689.0,0.0,38.0,216.0,159.0,168.0,2525.0,69.0,2244.0,52.0,2244.0,269.0,3938.0,28.9
06001404000,"Census Tract 4040, Alameda County, California",2932,77065.0,432200.0,1748.0,1742.0,177.0,5.0,315.0,31.0,43.0,189.0,430.0,157.0,2238.0,34.0,1650.0,35.0,1650.0,293.0,2932.0,24.4
06001404101,"Census Tract 4041.01, Alameda County, California",3187,86635.0,638600.0,1938.0,2092.0,176.0,8.0,379.0,0.0,37.0,279.0,216.0,145.0,2270.0,32.0,1679.0,21.0,1679.0,167.0,3183.0,24.2
06001404102,"Census Tract 4041.02, Alameda County, California",2438,77303.0,432100.0,1339.0,1615.0,264.0,12.0,286.0,19.0,10.0,22.0,218.0,68.0,1515.0,9.0,1515.0,9.0,1515.0,75.0,2282.0,22.5
06001404200,"Census Tract 4042, Alameda County, California",3650,169519.0,1047400.0,1865.0,2425.0,495.0,0.0,335.0,26.0,7.0,181.0,181.0,101.0,1810.0,9.0,1285.0,37.0,1285.0,67.0,3650.0,23.0
06001404300,"Census Tract 4043, Alameda County, California",3329,193523.0,1163100.0,2032.0,2138.0,165.0,0.0,402.0,24.0,0.0,242.0,358.0,89.0,1835.0,0.0,1252.0,0.0,1252.0,17.0,3329.0,19.8
06001404400,"Census Tract 4044, Alameda County, California",5404,150074.0,853200.0,3411.0,3751.0,110.0,0.0,946.0,0.0,0.0,239.0,358.0,48.0,3497.0,10.0,2317.0,24.0,2317.0,100.0,5404.0,24.5
06001404501,"Census Tract 4045.01, Alameda County, California",1836,181484.0,999400.0,1145.0,1193.0,81.0,0.0,255.0,6.0,0.0,151.0,150.0,60.0,1053.0,5.0,679.0,11.0,679.0,85.0,1836.0,26.5
06001404502,"Census Tract 4045.02, Alameda County, California",5403,133068.0,779400.0,3212.0,3567.0,265.0,0.0,702.0,0.0,0.0,430.0,439.0,60.0,2950.0,12.0,2339.0,12.0,2339.0,175.0,5403.0,41.1
06001404600,"Census Tract 4046, Alameda County, California",4347,163322.0,854800.0,2649.0,3178.0,202.0,26.0,579.0,31.0,11.0,164.0,164.0,84.0,2517.0,28.0,1761.0,8.0,1761.0,42.0,4347.0,28.4
06001404700,"Census Tract 4047, Alameda County, California",2166,159107.0,862700.0,1245.0,1530.0,114.0,4.0,275.0,0.0,20.0,59.0,168.0,66.0,1199.0,7.0,795.0,13.0,795.0,73.0,2166.0,22.4
06001404800,"Census Tract 4048, Alameda County, California",2784,61875.0,685300.0,1056.0,1131.0,534.0,34.0,550.0,17.0,50.0,216.0,268.0,133.0,1534.0,35.0,1243.0,29.0,1243.0,344.0,2784.0,35.0
06001404900,"Census Tract 4049, Alameda County, California",3995,84375.0,636300.0,2044.0,2260.0,423.0,14.0,488.0,51.0,16.0,285.0,458.0,44.0,2340.0,10.0,1945.0,13.0,1945.0,243.0,3995.0,27.0
06001405000,"Census Tract 4050, Alameda County, California",3248,122237.0,722800.0,1866.0,2108.0,308.0,11.0,386.0,0.0,0.0,192.0,250.0,112.0,2031.0,57.0,1476.0,14.0,1476.0,212.0,3239.0,28.3
06001405100,"Census Tract 4051, Alameda County, California",4265,182153.0,1117100.0,2593.0,2730.0,683.0,0.0,445.0,0.0,10.0,261.0,136.0,16.0,2315.0,24.0,1565.0,0.0,1565.0,14.0,4265.0,20.7
06001405200,"Census Tract 4052, Alameda County, California",5099,75417.0,740000.0,2501.0,1693.0,551.0,56.0,1397.0,67.0,0.0,502.0,844.0,256.0,3518.0,151.0,2391.0,94.0,2391.0,196.0,5099.0,23.9
06001405301,"Census Tract 4053.01, Alameda County, California",2899,60928.0,599300.0,1448.0,1263.0,733.0,5.0,410.0,7.0,0.0,138.0,343.0,138.0,2028.0,52.0,1517.0,22.0,1517.0,216.0,2899.0,26.9
06001405302,"Census Tract 4053.02, Alameda County, California",2616,35638.0,400000.0,816.0,682.0,321.0,13.0,850.0,0.0,31.0,193.0,526.0,151.0,1496.0,103.0,1488.0,20.0,1488.0,321.0,2616.0,31.2
06001405401,"Census Tract 4054.01, Alameda County, California",4087,39712.0,422100.0,611.0,686.0,710.0,52.0,1536.0,0.0,33.0,98.0,1011.0,274.0,2485.0,291.0,1655.0,164.0,1655.0,945.0,4062.0,34.0
06001405402,"Census Tract 4054.02, Alameda County, California",3239,33555.0,331000.0,411.0,309.0,928.0,45.0,1268.0,171.0,0.0,107.0,449.0,303.0,1877.0,250.0,1155.0,105.0,1155.0,501.0,3170.0,42.3
06001405500,"Census Tract 4055, Alameda County, California",4104,50225.0,360300.0,1143.0,841.0,738.0,58.0,1816.0,0.0,0.0,212.0,487.0,125.0,2389.0,293.0,1615.0,149.0,1615.0,470.0,4104.0,31.7
06001405600,"Census Tract 4056, Alameda County, California",3148,53063.0,395500.0,1124.0,914.0,547.0,3.0,871.0,0.0,11.0,127.0,675.0,151.0,1993.0,115.0,1411.0,66.0,1411.0,407.0,3148.0,31.6
06001405700,"Census Tract 4057, Alameda County, California",3701,48851.0,419600.0,414.0,429.0,1196.0,7.0,990.0,0.0,56.0,145.0,878.0,394.0,2106.0,243.0,1372.0,83.0,1372.0,588.0,3701.0,31.4
06001405800,"Census Tract 4058, Alameda County, California",4237,44375.0,296000.0,565.0,464.0,1018.0,46.0,1784.0,12.0,0.0,63.0,863.0,200.0,2187.0,353.0,1320.0,109.0,1320.0,635.0,4237.0,39.2
06001405901,"Census Tract 4059.01, Alameda County, California",4293,31607.0,351500.0,143.0,121.0,804.0,178.0,1681.0,0.0,104.0,0.0,1566.0,242.0,1904.0,282.0,1057.0,43.0,1057.0,869.0,4293.0,38.0
06001405902,"Census Tract 4059.02, Alameda County, California",3170,32833.0,300000.0,319.0,189.0,301.0,31.0,1571.0,74.0,25.0,74.0,914.0,282.0,1606.0,204.0,916.0,66.0,916.0,645.0,3156.0,38.6
06001406000,"Census Tract 4060, Alameda County, California",3447,30909.0,399200.0,740.0,786.0,614.0,22.0,1602.0,0.0,0.0,76.0,347.0,220.0,1828.0,238.0,1448.0,63.0,1448.0,430.0,3447.0,29.3
06001406100,"Census Tract 4061, Alameda County, California",4835,44485.0,282200.0,969.0,692.0,416.0,142.0,589.0,30.0,0.0,123.0,2973.0,309.0,2597.0,317.0,1496.0,65.0,1496.0,1129.0,4835.0,38.5
06001406201,"Census Tract 4062.01, Alameda County, California",4296,37336.0,327500.0,510.0,328.0,702.0,14.0,985.0,131.0,46.0,188.0,1902.0,392.0,2328.0,315.0,1352.0,136.0,1352.0,719.0,4247.0,35.5
06001406202,"Census Tract 4062.02, Alameda County, California",4674,33583.0,339500.0,628.0,440.0,469.0,339.0,397.0,0.0,0.0,211.0,2986.0,237.0,2441.0,402.0,1305.0,139.0,1305.0,1368.0,4479.0,36.6
06001406300,"Census Tract 4063, Alameda County, California",4148,43307.0,334700.0,587.0,444.0,656.0,6.0,1659.0,0.0,0.0,89.0,1294.0,219.0,2069.0,265.0,1203.0,49.0,1203.0,552.0,4148.0,33.3
06001406400,"Census Tract 4064, Alameda County, California",2218,59500.0,437700.0,485.0,613.0,577.0,16.0,536.0,0.0,0.0,133.0,359.0,76.0,850.0,119.0,716.0,70.0,716.0,239.0,2104.0,50.0
06001406500,"Census Tract 4065, Alameda County, California",6574,41346.0,302400.0,899.0,513.0,1093.0,107.0,1479.0,12.0,6.0,267.0,3204.0,409.0,3525.0,300.0,2018.0,88.0,2018.0,1134.0,6574.0,38.1
06001406601,"Census Tract 4066.01, Alameda County, California",4835,48467.0,371100.0,640.0,527.0,1395.0,22.0,1079.0,5.0,0.0,523.0,1287.0,300.0,2397.0,245.0,1679.0,75.0,1679.0,369.0,4835.0,40.6
06001406602,"Census Tract 4066.02, Alameda County, California",2767,53162.0,375300.0,479.0,482.0,489.0,39.0,1013.0,7.0,0.0,54.0,699.0,152.0,1602.0,58.0,959.0,38.0,959.0,542.0,2767.0,33.9
06001406700,"Census Tract 4067, Alameda County, California",4969,73167.0,550800.0,1885.0,2615.0,566.0,21.0,858.0,0.0,0.0,241.0,668.0,237.0,2638.0,82.0,2130.0,16.0,2130.0,198.0,4947.0,31.1
06001406800,"Census Tract 4068, Alameda County, California",3483,94167.0,638100.0,1276.0,1457.0,405.0,37.0,810.0,0.0,0.0,274.0,500.0,174.0,2206.0,122.0,1368.0,43.0,1368.0,154.0,3477.0,38.7
06001406900,"Census Tract 4069, Alameda County, California",3989,65556.0,602000.0,1216.0,1452.0,793.0,36.0,752.0,21.0,38.0,343.0,554.0,136.0,2225.0,105.0,1528.0,37.0,1528.0,261.0,3989.0,32.9
06001407000,"Census Tract 4070, Alameda County, California",5902,43125.0,357700.0,612.0,768.0,1092.0,22.0,1997.0,0.0,0.0,239.0,1784.0,308.0,2920.0,325.0,1953.0,128.0,1953.0,1123.0,5772.0,46.1
06001407101,"Census Tract 4071.01, Alameda County, California",3538,51691.0,258800.0,464.0,347.0,460.0,18.0,851.0,0.0,10.0,172.0,1680.0,137.0,1946.0,166.0,1020.0,50.0,1020.0,728.0,3538.0,29.5
06001407102,"Census Tract 4071.02, Alameda County, California",4296,47660.0,358600.0,636.0,413.0,845.0,45.0,706.0,143.0,0.0,140.0,2049.0,314.0,2374.0,265.0,1288.0,75.0,1288.0,739.0,4280.0,29.3
06001407200,"Census Tract 4072, Alameda County, California",6616,37319.0,249800.0,541.0,439.0,543.0,160.0,940.0,0.0,20.0,98.0,4550.0,378.0,3216.0,456.0,1801.0,143.0,1801.0,1983.0,6556.0,34.6
06001407300,"Census Tract 4073, Alameda County, California",2501,53214.0,252900.0,434.0,434.0,266.0,0.0,345.0,18.0,0.0,96.0,1342.0,165.0,1452.0,137.0,744.0,52.0,744.0,534.0,2501.0,35.0
06001407400,"Census Tract 4074, Alameda County, California",4452,47656.0,311300.0,234.0,176.0,723.0,6.0,499.0,0.0,0.0,88.0,2966.0,321.0,2114.0,309.0,1147.0,134.0,1147.0,733.0,4452.0,29.5
06001407500,"Census Tract 4075, Alameda County, California",4201,24869.0,286600.0,215.0,257.0,1491.0,45.0,104.0,0.0,0.0,275.0,2054.0,256.0,1638.0,333.0,1279.0,81.0,1279.0,841.0,4139.0,45.2
06001407600,"Census Tract 4076, Alameda County, California",6398,53300.0,359400.0,896.0,749.0,2590.0,0.0,854.0,25.0,0.0,365.0,1815.0,262.0,3065.0,339.0,2186.0,161.0,2186.0,722.0,6393.0,33.9
06001407700,"Census Tract 4077, Alameda County, California",4323,70938.0,423700.0,1366.0,1249.0,2064.0,9.0,186.0,30.0,10.0,236.0,548.0,227.0,2205.0,141.0,1646.0,33.0,1646.0,278.0,4318.0,42.6
06001407800,"Census Tract 4078, Alameda County, California",2719,80368.0,440400.0,627.0,780.0,822.0,0.0,487.0,0.0,2.0,180.0,448.0,193.0,1580.0,54.0,759.0,15.0,759.0,196.0,2719.0,24.3
06001407900,"Census Tract 4079, Alameda County, California",3077,100927.0,559800.0,1152.0,1251.0,556.0,0.0,501.0,42.0,34.0,314.0,379.0,93.0,1770.0,17.0,1113.0,7.0,1113.0,226.0,3072.0,37.4
06001408000,"Census Tract 4080, Alameda County, California",2739,158917.0,753000.0,1339.0,1299.0,455.0,13.0,507.0,6.0,11.0,128.0,320.0,93.0,1529.0,9.0,970.0,0.0,970.0,144.0,2739.0,18.4
06001408100,"Census Tract 4081, Alameda County, California",6266,103670.0,620900.0,3117.0,2313.0,1406.0,34.0,1430.0,0.0,30.0,353.0,700.0,220.0,3969.0,17.0,2662.0,36.0,2662.0,144.0,6266.0,24.8
06001408200,"Census Tract 4082, Alameda County, California",4162,51135.0,375700.0,1048.0,784.0,2118.0,96.0,185.0,42.0,0.0,283.0,673.0,209.0,2552.0,214.0,1703.0,91.0,1703.0,435.0,4162.0,40.4
06001408300,"Census Tract 4083, Alameda County, California",4939,81695.0,401500.0,1258.0,1174.0,2075.0,19.0,404.0,43.0,22.0,188.0,1033.0,369.0,2889.0,224.0,1762.0,145.0,1762.0,653.0,4939.0,34.6
06001408400,"Census Tract 4084, Alameda County, California",3129,30213.0,186300.0,371.0,328.0,1210.0,31.0,0.0,0.0,94.0,46.0,1420.0,231.0,1491.0,307.0,1086.0,80.0,1086.0,375.0,3124.0,50.0
06001408500,"Census Tract 4085, Alameda County, California",5747,47841.0,229300.0,360.0,103.0,1758.0,84.0,92.0,51.0,56.0,183.0,3504.0,246.0,2504.0,375.0,1617.0,81.0,1617.0,1136.0,5739.0,39.3
06001408600,"Census Tract 4086, Alameda County, California",6292,30696.0,247000.0,235.0,230.0,2017.0,70.0,213.0,0.0,0.0,299.0,3517.0,325.0,2443.0,338.0,1811.0,248.0,1811.0,1216.0,6277.0,50.0
06001408700,"Census Tract 4087, Alameda County, California",7758,43649.0,308800.0,594.0,388.0,3191.0,0.0,119.0,0.0,0.0,205.0,3855.0,575.0,3561.0,620.0,2325.0,364.0,2325.0,665.0,7753.0,44.7
06001408800,"Census Tract 4088, Alameda County, California",6348,23598.0,203100.0,89.0,229.0,1900.0,33.0,338.0,245.0,0.0,160.0,3461.0,464.0,2409.0,702.0,1950.0,329.0,1950.0,1261.0,6348.0,36.6
06001408900,"Census Tract 4089, Alameda County, California",3105,26379.0,186100.0,123.0,108.0,850.0,16.0,130.0,25.0,0.0,97.0,1879.0,196.0,1275.0,210.0,944.0,105.0,944.0,744.0,3105.0,39.8
06001409000,"Census Tract 4090, Alameda County, California",3752,44125.0,174900.0,161.0,134.0,1310.0,62.0,149.0,51.0,6.0,105.0,1997.0,255.0,1793.0,130.0,1038.0,60.0,1038.0,514.0,3752.0,36.3
06001409100,"Census Tract 4091, Alameda County, California",2414,40000.0,231200.0,124.0,41.0,933.0,0.0,115.0,164.0,0.0,191.0,970.0,113.0,997.0,157.0,634.0,56.0,634.0,327.0,2414.0,50.0
06001409200,"Census Tract 4092, Alameda County, California",3583,46250.0,231900.0,191.0,141.0,1241.0,135.0,238.0,0.0,0.0,182.0,1704.0,181.0,1695.0,213.0,923.0,83.0,923.0,519.0,3579.0,48.6
06001409300,"Census Tract 4093, Alameda County, California",4986,34830.0,239400.0,262.0,312.0,1473.0,82.0,89.0,14.0,0.0,104.0,2994.0,425.0,2460.0,345.0,1553.0,130.0,1553.0,790.0,4970.0,41.8
06001409400,"Census Tract 4094, Alameda County, California",4888,39189.0,328800.0,328.0,257.0,1222.0,0.0,504.0,6.0,0.0,39.0,2860.0,286.0,2067.0,418.0,1230.0,115.0,1230.0,856.0,4869.0,44.9
06001409500,"Census Tract 4095, Alameda County, California",4348,31682.0,238400.0,175.0,221.0,1221.0,20.0,85.0,0.0,7.0,167.0,2640.0,285.0,1925.0,375.0,1117.0,113.0,1117.0,898.0,4348.0,39.1
06001409600,"Census Tract 4096, Alameda County, California",4843,37349.0,238600.0,155.0,119.0,1288.0,13.0,219.0,0.0,45.0,71.0,3091.0,255.0,2281.0,339.0,1382.0,78.0,1382.0,977.0,4838.0,37.7
06001409700,"Census Tract 4097, Alameda County, California",5493,38357.0,234500.0,270.0,131.0,2204.0,34.0,202.0,11.0,16.0,143.0,2776.0,289.0,2590.0,380.0,1524.0,149.0,1524.0,1015.0,5493.0,43.7
06001409800,"Census Tract 4098, Alameda County, California",3220,63598.0,437600.0,504.0,366.0,1811.0,1.0,259.0,0.0,35.0,258.0,491.0,78.0,1322.0,60.0,1255.0,73.0,1255.0,385.0,3215.0,45.4
06001409900,"Census Tract 4099, Alameda County, California",3449,97689.0,620300.0,1463.0,820.0,1619.0,12.0,295.0,0.0,0.0,207.0,508.0,133.0,1859.0,59.0,1383.0,10.0,1383.0,220.0,3431.0,38.6
06001410000,"Census Tract 4100, Alameda County, California",3224,107083.0,598400.0,1259.0,1151.0,1414.0,0.0,150.0,0.0,0.0,304.0,205.0,92.0,1686.0,41.0,1197.0,86.0,1197.0,183.0,3224.0,37.3
06001410100,"Census Tract 4101, Alameda County, California",2734,59239.0,357500.0,431.0,271.0,1721.0,0.0,84.0,0.0,0.0,187.0,471.0,171.0,1355.0,152.0,992.0,96.0,992.0,388.0,2734.0,33.7
06001410200,"Census Tract 4102, Alameda County, California",3374,49200.0,296800.0,314.0,232.0,1591.0,0.0,124.0,51.0,0.0,72.0,1304.0,193.0,1718.0,148.0,1146.0,37.0,1146.0,413.0,3374.0,34.8
06001410300,"Census Tract 4103, Alameda County, California",3534,39524.0,202400.0,125.0,69.0,857.0,38.0,54.0,124.0,5.0,118.0,2284.0,274.0,1819.0,185.0,946.0,85.0,946.0,665.0,3534.0,34.3
06001410400,"Census Tract 4104, Alameda County, California",4501,66555.0,267200.0,564.0,280.0,1786.0,0.0,374.0,9.0,0.0,97.0,1955.0,306.0,2453.0,128.0,1397.0,90.0,1397.0,567.0,4496.0,30.3
06001410500,"Census Tract 4105, Alameda County, California",2303,22596.0,606100.0,273.0,128.0,1439.0,0.0,427.0,15.0,7.0,97.0,190.0,155.0,1003.0,307.0,961.0,152.0,961.0,308.0,2303.0,31.3
06001420100,"Census Tract 4201, Alameda County, California",2432,120208.0,846600.0,1199.0,1592.0,63.0,18.0,428.0,0.0,33.0,128.0,170.0,93.0,1321.0,0.0,870.0,0.0,870.0,101.0,2432.0,30.2
06001420200,"Census Tract 4202, Alameda County, California",3334,89194.0,672800.0,1510.0,1610.0,218.0,8.0,821.0,46.0,11.0,198.0,422.0,171.0,1849.0,38.0,1240.0,10.0,1240.0,222.0,3334.0,35.5
06001420300,"Census Tract 4203, Alameda County, California",4690,86417.0,541900.0,2413.0,1836.0,241.0,19.0,1710.0,75.0,33.0,299.0,492.0,102.0,2677.0,41.0,1955.0,51.0,1955.0,202.0,4670.0,28.5
06001420400,"Census Tract 4204, Alameda County, California",3301,42054.0,-666666666.0,1711.0,886.0,45.0,130.0,1195.0,19.0,0.0,290.0,848.0,95.0,1226.0,234.0,1177.0,33.0,1177.0,154.0,3282.0,45.4
06001420500,"Census Tract 4205, Alameda County, California",2502,89333.0,666300.0,1123.0,1324.0,154.0,7.0,501.0,0.0,72.0,211.0,233.0,105.0,1338.0,44.0,934.0,20.0,934.0,126.0,2479.0,34.4
06001420600,"Census Tract 4206, Alameda County, California",3161,116172.0,826900.0,1655.0,2194.0,19.0,34.0,463.0,16.0,0.0,120.0,341.0,47.0,1600.0,28.0,1219.0,13.0,1219.0,83.0,3161.0,31.7
06001421100,"Census Tract 4211, Alameda County, California",2123,162308.0,984700.0,1428.0,1639.0,6.0,0.0,268.0,0.0,36.0,71.0,103.0,42.0,1024.0,5.0,860.0,3.0,860.0,20.0,2123.0,21.1
06001421200,"Census Tract 4212, Alameda County, California",3643,144115.0,1054400.0,2497.0,2843.0,20.0,36.0,276.0,0.0,0.0,202.0,288.0,93.0,1816.0,0.0,1521.0,11.0,1521.0,86.0,3643.0,23.1
06001421300,"Census Tract 4213, Alameda County, California",3942,138971.0,874700.0,2583.0,3071.0,156.0,0.0,352.0,11.0,42.0,195.0,115.0,53.0,2214.0,40.0,1638.0,8.0,1638.0,233.0,3942.0,22.0
06001421400,"Census Tract 4214, Alameda County, California",1690,141375.0,1048000.0,1055.0,1259.0,55.0,3.0,176.0,0.0,0.0,76.0,121.0,52.0,897.0,4.0,650.0,7.0,650.0,46.0,1690.0,33.5
06001421500,"Census Tract 4215, Alameda County, California",3827,160265.0,949400.0,2378.0,3124.0,102.0,0.0,276.0,0.0,26.0,139.0,160.0,83.0,2014.0,8.0,1579.0,0.0,1579.0,76.0,3827.0,22.1
