state,fips,mrfei
CA,06001451701,21
CA,06001451702,17
CA,06013301000,0
CA,06013302002,0
CA,06013302003,13
CA,06013302004,14
CA,06013303100,6
CA,06013303200,14
CA,06013304000,17
CA,06013305000,10
CA,06013306001,8
CA,06013306002,0
CA,06013307101,13
CA,06013307102,15
CA,06013307201,11
CA,06013307202,10
CA,06013307204,16
CA,06013307205,13
CA,06013308001,13
CA,06013308002,8
CA,06013309000,0
CA,06013310000,0
CA,06013311000,13
CA,06013312000,5
CA,06013313101,7
CA,06013313102,6
CA,06013313103,10
CA,06013313201,9
CA,06013313202,11
CA,06013314102,20
CA,06013314103,23
CA,06013314104,19
CA,06013314200,25
CA,06013315000,20
CA,06013316000,10
CA,06013317000,8
CA,06013318000,12
CA,06013319000,17
CA,06013320001,13
CA,06013320002,8
CA,06013321101,10
CA,06013321102,15
CA,06013321103,14
CA,06013321200,6
CA,06013322000,12
CA,06013323000,13
CA,06013324000,6
CA,06013325000,11
CA,06013326000,14
CA,06013327000,8
CA,06013328000,7
CA,06013329000,7
CA,06013330000,5
CA,06013331000,3
CA,06013332000,12
CA,06013333100,11
CA,06013333200,7
CA,06013334001,9
CA,06013334003,0
CA,06013334004,11
CA,06013334005,9
CA,06013335000,7
CA,06013336101,11
CA,06013336102,11
CA,06013336200,13
CA,06013337100,25
CA,06013337200,15
CA,06013337300,20
CA,06013338100,12
CA,06013338201,19
CA,06013338202,3
CA,06013338301,20
CA,06013338302,0
CA,06013339000,6
CA,06013340001,4
CA,06013340002,0
CA,06013341000,8
CA,06013342000,8
CA,06013343001,9
CA,06013343002,0
CA,06013343003,0
CA,06013344000,14
CA,06013345101,14
CA,06013345102,0
CA,06013345103,0
CA,06013345105,8
CA,06013345107,13
CA,06013345108,8
CA,06013345109,11
CA,06013345110,11
CA,06013345201,10
CA,06013345202,9
CA,06013346101,
CA,06013346102,14
CA,06013346201,6
CA,06013346202,11
CA,06013347000,7
CA,06013348000,8
CA,06013349000,11
CA,06013350000,7
CA,06013351100,25
CA,06013351200,7
CA,06013352101,15
CA,06013352102,40
CA,06013352201,15
CA,06013352202,40
CA,06013353001,0
CA,06013353002,0
CA,06013354001,10
CA,06013354002,10
CA,06013355101,5
CA,06013355104,17
CA,06013355106,0
CA,06013355200,10
CA,06013355301,20
CA,06013355302,23
CA,06013355303,
CA,06013355304,11
CA,06013355305,33
CA,06013356001,0
CA,06013356002,0
CA,06013357000,50
CA,06013358000,14
CA,06013359101,6
CA,06013359102,9
CA,06013359202,0
CA,06013359203,0
CA,06013359204,0
CA,06013360100,6
CA,06013360200,8
CA,06013361000,6
CA,06013362000,0
CA,06013363000,9
CA,06013364001,0
CA,06013364002,8
CA,06013365001,6
CA,06013365002,0
CA,06013366001,9
CA,06013366002,6
CA,06013367100,8
CA,06013367200,8
CA,06013368000,4
CA,06013369001,8
CA,06013369002,7
CA,06013370000,10
CA,06013371000,6
CA,06013372000,4
CA,06013373000,0
CA,06013374000,0
CA,06013375000,3
CA,06013376000,3
CA,06013377000,3
CA,06013378000,0
CA,06013379000,3
CA,06013380000,8
CA,06013381000,5
CA,06013382000,7
CA,06013383000,9
CA,06013384000,6
CA,06013385100,0
CA,06013385200,0
CA,06013386000,5
CA,06013387000,0
CA,06013388000,11
CA,06013389100,14
CA,06013389200,15
CA,06013390100,0
CA,06013390200,27
CA,06013391000,0
CA,06013392000,0
CA,06041101100,0
CA,06041101200,9
CA,06041102100,0
CA,06041102201,11
CA,06041103100,25
CA,06041103200,15
CA,06041104101,17
CA,06041104102,13
CA,06041104200,11
CA,06041104300,11
CA,06041105000,11
CA,06041106001,0
CA,06041106002,20
CA,06041107000,0
CA,06041108100,6
CA,06041108200,15
CA,06041109000,15
CA,06041110100,28
CA,06041110200,50
CA,06041111000,15
CA,06041112100,20
CA,06041112200,19
CA,06041113000,0
CA,06041114100,25
CA,06041114200,14
CA,06041115000,8
CA,06041116000,9
CA,06041117000,13
CA,06041118100,13
CA,06041118200,33
CA,06041119100,20
CA,06041119200,15
CA,06041120000,11
CA,06041121100,8
CA,06041121200,6
CA,06041122000,
CA,06041123000,0
CA,06041124100,13
CA,06041124200,0
CA,06041125000,9
CA,06041126100,23
CA,06041126200,9
CA,06041127000,18
CA,06041128100,16
CA,06041128200,19
CA,06041129000,13
CA,06041130200,14
CA,06041131000,25
CA,06041132100,100
CA,06041132200,25
CA,06041133000,33
CA,06055200201,21
CA,06055200202,16
CA,06055200203,7
CA,06055200300,10
CA,06055200400,13
CA,06055200501,24
CA,06055200502,19
CA,06055200503,14
CA,06055200600,29
CA,06055200701,29
CA,06055200702,33
CA,06055200703,0
CA,06055200801,25
CA,06055200802,20
CA,06055200900,7
CA,06055201001,11
CA,06055201002,10
CA,06055201100,50
CA,06055201200,25
CA,06055201300,50
CA,06055201400,10
CA,06055201500,0
CA,06055201600,25
CA,06055201700,25
CA,06055201800,0
CA,06055201900,17
CA,06055202000,14
CA,06075010100,8
CA,06075010200,7
CA,06075010300,9
CA,06075010400,9
CA,06075010500,5
CA,06075010600,7
CA,06075010700,8
CA,06075010800,9
CA,06075010900,10
CA,06075011000,6
CA,06075011100,3
CA,06075011200,5
CA,06075011300,4
CA,06075011400,6
CA,06075011500,4
CA,06075011700,3
CA,06075011800,4
CA,06075011900,2
CA,06075012000,2
CA,06075012100,2
CA,06075012200,1
CA,06075012300,1
CA,06075012400,2
CA,06075012500,0
CA,06075012600,7
CA,06075012700,10
CA,06075012800,8
CA,06075012900,7
CA,06075013000,8
CA,06075013100,8
CA,06075013200,10
CA,06075013300,10
CA,06075013400,13
CA,06075013500,10
CA,06075015100,7
CA,06075015200,9
CA,06075015300,15
CA,06075015400,8
CA,06075015500,8
CA,06075015600,12
CA,06075015700,12
CA,06075015800,11
CA,06075015900,7
CA,06075016000,6
CA,06075016100,6
CA,06075016200,4
CA,06075016300,12
CA,06075016400,14
CA,06075016500,12
CA,06075016600,13
CA,06075016700,9
CA,06075016800,9
CA,06075016900,14
CA,06075017000,15
CA,06075017100,14
CA,06075017601,2
CA,06075017602,2
CA,06075017700,9
CA,06075017800,3
CA,06075017901,3
CA,06075017902,
CA,06075018000,9
CA,06075020100,9
CA,06075020200,9
CA,06075020300,10
CA,06075020400,18
CA,06075020500,9
CA,06075020600,11
CA,06075020700,11
CA,06075020800,13
CA,06075020900,13
CA,06075021000,13
CA,06075021100,11
CA,06075021200,11
CA,06075021300,10
CA,06075021400,17
CA,06075021500,17
CA,06075021600,19
CA,06075021700,20
CA,06075021800,12
CA,06075022600,21
CA,06075022701,18
CA,06075022702,16
CA,06075022703,19
CA,06075022801,17
CA,06075022802,19
CA,06075022803,15
CA,06075022901,15
CA,06075022902,18
CA,06075022903,17
CA,06075023001,17
CA,06075023002,33
CA,06075023003,21
CA,06075023101,15
CA,06075023102,14
CA,06075023103,18
CA,06075023200,14
CA,06075023300,7
CA,06075023400,16
CA,06075025100,17
CA,06075025200,16
CA,06075025300,16
CA,06075025401,14
CA,06075025402,12
CA,06075025403,12
CA,06075025500,12
CA,06075025600,8
CA,06075025700,10
CA,06075025800,5
CA,06075025900,0
CA,06075026001,13
CA,06075026002,10
CA,06075026003,17
CA,06075026004,17
CA,06075026100,18
CA,06075026200,11
CA,06075026301,18
CA,06075026302,17
CA,06075026303,17
CA,06075026401,0
CA,06075026402,0
CA,06075026403,0
CA,06075026404,0
CA,06075030101,12
CA,06075030102,9
CA,06075030201,12
CA,06075030202,12
CA,06075030301,13
CA,06075030302,19
CA,06075030400,22
CA,06075030500,21
CA,06075030600,29
CA,06075030700,19
CA,06075030800,23
CA,06075030900,10
CA,06075031000,13
CA,06075031100,15
CA,06075031200,16
CA,06075031300,6
CA,06075031400,12
CA,06075032600,17
CA,06075032700,17
CA,06075032800,14
CA,06075032900,13
CA,06075033000,19
CA,06075033100,21
CA,06075033201,13
CA,06075033202,10
CA,06075035100,16
CA,06075035201,20
CA,06075035202,22
CA,06075035300,20
CA,06075035400,29
CA,06075040100,10
CA,06075040200,14
CA,06075042600,18
CA,06075042700,13
CA,06075042800,19
CA,06075045100,8
CA,06075045200,14
CA,06075047600,21
CA,06075047701,16
CA,06075047702,16
CA,06075047800,12
CA,06075047901,17
CA,06075047902,17
CA,06075060100,20
CA,06075060200,9
CA,06075060300,13
CA,06075060400,13
CA,06075060501,0
CA,06075060502,0
CA,06075060600,22
CA,06075060700,16
CA,06075060900,19
CA,06075061000,5
CA,06081600100,9
CA,06081600200,0
CA,06081600300,11
CA,06081600400,13
CA,06081600500,5
CA,06081600600,9
CA,06081600700,10
CA,06081600800,11
CA,06081600900,9
